"id","product_variant_id/default_code","product_variant_id/display_name","product_brand_id/display_name","product_variant_id/categ_id/display_name","partner_manufacturer_id/display_name","country_id/display_name","product_variant_id/regsanitario_ids/name","product_variant_id/regsanitario_ids/date_end"
"__export__.product_template_28614","3039773190","[3039773190]  CHOL HiCo Gen.2, 400Tests, cobas c, Int. ","ROCHE","All / BIOQUIMICA / CC Core Reagents cobas","ROCHE ECUADOR S.A.","Alemania","AD-138-09-10","2025-09-28"
"__export__.product_template_123200_7007627d","130201031M","[130201031M] MAGLUMI CA 125 (CLIA) 2G/100 tests","SNIBE","All / INMUNOLOGIA / REACTIVO","Shenzhen New Industries Biomedical Engineering","China","15636-DME-1123","2028-11-26"
"__export__.product_template_123021_efc68520","130662008M","[130662008M] MAGLUMI HSV-2 IgG (CLIA) 2G/50 tests ","SNIBE","All / INMUNOLOGIA / REACTIVO","Shenzhen New Industries Biomedical Engineering","China","15736-DME-1223","2028-12-23"
"__export__.product_template_123434_2f7c90c2","130258001M","[130258001M] MAGLUMI IgE (CLIA) 2G/100 tests","SNIBE","All / INMUNOLOGIA / REACTIVO","Shenzhen New Industries Biomedical Engineering","China","15795-DME-1223","2028-12-27"
"__export__.product_template_123319_1d410ab8","130255002M","[130255002M] MAGLUMI Insulin (CLIA) 2G/100 tests","SNIBE","All / INMUNOLOGIA / REACTIVO","Shenzhen New Industries Biomedical Engineering","China","15586-DME-1123","2028-11-16"
"__export__.product_template_122328_dd638b02","130603003M","[130603003M] MAGLUMI T3 (CLIA) 1G/50 tests","SNIBE","All / INMUNOLOGIA / REACTIVO","SHENZHEN NEW INDUSTRIES BIOMEDICAL ENGINEERING Co. Ltd.","China"," 15937-DME-0124","2029-01-21"
"__export__.product_template_121699_fa859dad","130603002M","[130603002M] MAGLUMI T4 (CLIA) 1G/50 tests","SNIBE","All / INMUNOLOGIA / REACTIVO","SHENZHEN NEW INDUSTRIES BIOMEDICAL ENGINEERING Co. Ltd.","China"," 15937-DME-0124","2029-01-21"
